Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,11.0%
,,
Total Return,56%,-512%
CAGR% (Annual Return),12.12%,-
,,
Sharpe,0.39,0.55
RoMaD,0.36,-
Corr to Benchmark,1.0,0.03
Prob. Sharpe Ratio,22.63%,3.04%
Smart Sharpe,0.39,0.54
Sortino,0.54,8.05
Smart Sortino,0.54,7.99
Sortino/√2,0.38,5.69
Smart Sortino/√2,0.38,5.65
Omega,6.67,6.67
,,
Max Drawdown,-33.68%,-939.37%
Longest DD Days,708,1428
Volatility (ann.),22.77%,933.95%
R^2,0.0,0.0
Information Ratio,0.03,0.03
Calmar,0.36,-
Skew,-0.57,36.82
Kurtosis,16.13,1378.74
,,
Expected Daily%,0.03%,-
Expected Monthly%,0.94%,-
Expected Yearly%,9.36%,-
Daily Value-at-Risk,-1.92%,-79.0%
Expected Shortfall (cVaR),-1.92%,-79.0%
,,
MTD,0.0%,0.0%
3M,11.64%,0.0%
6M,8.05%,0.0%
YTD,0.0%,0.0%
1Y,26.21%,0.0%
3Y (ann.),10.05%,0.0%
5Y (ann.),12.12%,-
10Y (ann.),12.12%,-
All-time (ann.),12.12%,-
,,
Best Day,9.06%,1831.63%
Worst Day,-10.94%,-105.89%
Best Month,12.7%,923.85%
Worst Month,-12.44%,-131.36%
Best Year,28.77%,0.0%
Worst Year,-18.16%,-512.08%
,,
Avg. Drawdown,-2.17%,-939.37%
Avg. Drawdown Days,22,1428
Recovery Factor,1.63,2.14
Ulcer Index,0.1,9.13
Serenity Index,0.29,0.1
,,
Avg. Up Month,9.84%,14.26%
Avg. Down Month,-8.6%,-131.36%
Win Days,768.34,629.56
Loss Days,660.66,799.44
Win Days%,53.77%,44.06%
Win Month%,61.7%,42.86%
Win Quarter%,68.75%,66.67%
Win Year%,75.0%,0.0%
,,
Beta,-,1.21
Alpha,-,4.97
Correlation,-,2.96%
Treynor Ratio,-,-426.7%
