time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2020-02-03 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2020-02-03 09:30:00-05:00,sell,fill,155.0,SPY,stock,,0.0,,323.3500061035156,market,1,0.0
2020-02-10 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2020-02-10 09:30:00-05:00,sell,fill,151.0,SPY,stock,,0.0,,331.2300109863281,market,1,0.0
2020-02-13 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2020-02-13 09:30:00-05:00,sell,fill,149.0,SPY,stock,,0.0,,335.8599853515625,market,1,0.0
2020-03-06 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2020-03-06 09:30:00-05:00,sell,fill,171.0,SPY,stock,,0.0,,293.1499938964844,market,1,0.0
2020-03-09 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2020-03-09 10:30:00-04:00,sell,fill,182.0,SPY,stock,,0.0,,275.29998779296875,market,1,0.0
2020-03-12 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2020-03-12 10:30:00-04:00,buy_to_close,fill,155.0,SPY,stock,,0.0,,256.0,limit,1,0.0
2020-03-12 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2020-03-12 10:30:00-04:00,buy_to_close,fill,151.0,SPY,stock,,0.0,,256.0,limit,1,0.0
2020-03-12 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2020-03-12 10:30:00-04:00,buy_to_close,fill,149.0,SPY,stock,,0.0,,256.0,limit,1,0.0
2020-03-18 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2020-03-18 10:30:00-04:00,buy_to_close,fill,171.0,SPY,stock,,0.0,,234.5199951171875,limit,1,0.0
2020-03-23 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2020-03-23 10:30:00-04:00,buy_to_close,fill,182.0,SPY,stock,,0.0,,220.239990234375,limit,1,0.0
2020-04-13 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2020-04-13 10:30:00-04:00,sell,fill,180.0,SPY,stock,,0.0,,277.1400146484375,market,1,0.0
2020-04-27 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2020-04-27 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2020-04-27 10:30:00-04:00,sell,canceled,,SPY,stock,,0.0,,,market,1,0.0
2020-04-27 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2020-04-27 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2020-04-27 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2020-04-27 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2020-04-27 10:30:00-04:00,buy,fill,1796.0,SPY,stock,,0.0,,285.1199951171875,market,1,0.0
2020-04-27 10:30:00-04:00,buy,fill,175.0,SPY,stock,,0.0,,285.1199951171875,market,1,0.0
2020-08-24 10:30:00-04:00,sell_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2020-08-24 10:30:00-04:00,sell_to_close,fill,175.0,SPY,stock,,0.0,,342.143994140625,limit,1,0.0
