Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,70.0%
,,
Total Return,14%,-100%
CAGR% (Annual Return),7.18%,-95.37%
,,
Sharpe,0.19,-0.15
RoMaD,0.32,-0.93
Corr to Benchmark,0.99,0.03
Prob. Sharpe Ratio,23.04%,6.16%
Smart Sharpe,0.17,-0.14
Sortino,0.27,-0.21
Smart Sortino,0.25,-0.19
Sortino/√2,0.19,-0.15
Smart Sortino/√2,0.18,-0.14
Omega,0.94,0.94
,,
Max Drawdown,-22.09%,-102.89%
Longest DD Days,475,665
Volatility (ann.),19.34%,613.75%
R^2,0.0,0.0
Information Ratio,-0.01,-0.01
Calmar,0.32,-0.93
Skew,-0.09,-0.2
Kurtosis,3.62,154.72
,,
Expected Daily%,0.02%,-0.84%
Expected Monthly%,0.55%,-21.67%
Expected Yearly%,4.32%,-84.63%
Daily Value-at-Risk,-1.64%,-53.08%
Expected Shortfall (cVaR),-1.64%,-53.08%
,,
MTD,0.0%,0.0%
3M,11.64%,288.83%
6M,8.05%,129.14%
YTD,0.0%,0.0%
1Y,26.21%,-97.1%
3Y (ann.),7.18%,-95.37%
5Y (ann.),7.18%,-95.37%
10Y (ann.),7.18%,-95.37%
All-time (ann.),7.18%,-95.37%
,,
Best Day,5.5%,476.58%
Worst Day,-4.35%,-484.63%
Best Month,9.21%,67.13%
Worst Month,-9.24%,-2670.73%
Best Year,26.21%,0.0%
Worst Year,-10.06%,-97.1%
,,
Avg. Drawdown,-3.74%,-102.89%
Avg. Drawdown Days,57,665
Recovery Factor,0.73,1.53
Ulcer Index,0.11,0.87
Serenity Index,0.05,-0.51
,,
Avg. Up Month,4.32%,34.19%
Avg. Down Month,-5.38%,-39.8%
Win Days,340.37,330.19
Loss Days,328.63,338.81
Win Days%,50.88%,49.36%
Win Month%,59.09%,22.73%
Win Quarter%,62.5%,12.5%
Win Year%,50.0%,0.0%
,,
Beta,-,1.0
Alpha,-,-0.95
Correlation,-,3.15%
Treynor Ratio,-,-104.98%
