Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,37.0%,46.0%
,,
Total Return,0%,0%
CAGR% (Annual Return),13.63%,1.46%
,,
Sharpe,2.03,-5.64
RoMaD,47.08,20.71
Corr to Benchmark,0.66,-0.25
Prob. Sharpe Ratio,67.75%,57.19%
Smart Sharpe,1.79,-4.98
Sortino,3.72,-8.54
Smart Sortino,3.28,-7.53
Sortino/√2,2.63,-6.04
Smart Sortino/√2,2.32,-5.33
Omega,0.43,0.43
,,
Max Drawdown,-0.29%,-0.07%
Longest DD Days,5,4
Volatility (ann.),3.23%,0.67%
R^2,0.05,0.05
Information Ratio,-0.16,-0.16
Calmar,47.08,20.71
Skew,0.74,2.34
Kurtosis,3.59,7.14
,,
Expected Daily%,0.03%,0.0%
Expected Monthly%,0.18%,0.02%
Expected Yearly%,0.18%,0.02%
Daily Value-at-Risk,-0.25%,-0.05%
Expected Shortfall (cVaR),-0.25%,-0.05%
,,
MTD,0.0%,0.0%
3M,0.35%,0.04%
6M,0.35%,0.04%
YTD,0.0%,0.0%
1Y,0.35%,0.04%
3Y (ann.),13.63%,1.46%
5Y (ann.),13.63%,1.46%
10Y (ann.),13.63%,1.46%
All-time (ann.),13.63%,1.46%
,,
Best Day,0.42%,0.1%
Worst Day,-0.29%,-0.03%
Best Month,0.35%,0.04%
Worst Month,0.0%,0.0%
Best Year,0.35%,0.04%
Worst Year,0.0%,0.0%
,,
Avg. Drawdown,-0.29%,-0.07%
Avg. Drawdown Days,5,4
Recovery Factor,1.21,0.56
Ulcer Index,0.0,0.0
Serenity Index,-10.59,-94.96
,,
Avg. Up Month,0.35%,0.04%
Avg. Down Month,-,-
Win Days,8.25,4.4
Loss Days,2.75,6.6
Win Days%,75.0%,40.0%
Win Month%,100.0%,100.0%
Win Quarter%,100.0%,100.0%
Win Year%,100.0%,100.0%
,,
Beta,-,-0.05
Alpha,-,0.02
Correlation,-,-21.97%
Treynor Ratio,-,113.75%
