Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,69.0%,22.0%
,,
Total Return,14%,-179%
CAGR% (Annual Return),7.18%,-
,,
Sharpe,0.19,0.77
RoMaD,0.32,-
Corr to Benchmark,0.99,0.0
Prob. Sharpe Ratio,23.04%,25.74%
Smart Sharpe,0.19,0.77
Sortino,0.27,125.61
Smart Sortino,0.27,125.13
Sortino/√2,0.19,88.82
Smart Sortino/√2,0.19,88.48
Omega,47.63,47.63
,,
Max Drawdown,-22.09%,-182.09%
Longest DD Days,475,665
Volatility (ann.),19.34%,28348.05%
R^2,0.0,0.0
Information Ratio,0.04,0.04
Calmar,0.32,-
Skew,-0.09,25.83
Kurtosis,3.62,667.63
,,
Expected Daily%,0.02%,-
Expected Monthly%,0.55%,-
Expected Yearly%,4.32%,-
Daily Value-at-Risk,-1.64%,-2380.92%
Expected Shortfall (cVaR),-1.64%,-2380.92%
,,
MTD,0.0%,0.0%
3M,11.64%,0.0%
6M,8.05%,0.0%
YTD,0.0%,0.0%
1Y,26.21%,0.0%
3Y (ann.),7.18%,-
5Y (ann.),7.18%,-
10Y (ann.),7.18%,-
All-time (ann.),7.18%,-
,,
Best Day,5.5%,38361.4%
Worst Day,-4.35%,-134.25%
Best Month,9.21%,1068.01%
Worst Month,-9.24%,-106.06%
Best Year,26.21%,0.0%
Worst Year,-10.06%,-178.66%
,,
Avg. Drawdown,-3.74%,-182.09%
Avg. Drawdown Days,57,665
Recovery Factor,0.73,219.41
Ulcer Index,0.11,1.68
Serenity Index,0.05,1601.53
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,340.37,318.35
Loss Days,328.63,350.65
Win Days%,50.88%,47.59%
Win Month%,59.09%,57.14%
Win Quarter%,62.5%,66.67%
Win Year%,50.0%,0.0%
,,
Beta,-,0.47
Alpha,-,217.94
Correlation,-,0.03%
Treynor Ratio,-,-393.04%
