time,side,status,filled_quantity,symbol,asset.asset_type,asset.right,asset.strike,asset.expiration,price,type,asset.multiplier,trade_cost
2022-03-04 09:30:00-05:00,sell,new,,SPY,stock,,0.0,,,market,1,
2022-03-04 09:30:00-05:00,sell,fill,46.0,SPY,stock,,0.0,,431.75,market,1,0.0
2022-03-18 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2022-03-18 10:30:00-04:00,sell,fill,46.0,SPY,stock,,0.0,,438.0,market,1,0.0
2022-03-24 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2022-03-24 10:30:00-04:00,sell,fill,45.0,SPY,stock,,0.0,,445.94000244140625,market,1,0.0
2022-03-28 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2022-03-28 10:30:00-04:00,buy_to_close,fill,46.0,SPY,stock,,0.0,,453.33750000000003,stop,1,0.0
2022-03-29 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2022-03-29 10:30:00-04:00,buy_to_close,fill,46.0,SPY,stock,,0.0,,460.0199890136719,stop,1,0.0
2022-04-22 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2022-04-22 10:30:00-04:00,sell,fill,46.0,SPY,stock,,0.0,,436.9100036621094,market,1,0.0
2022-04-27 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2022-04-27 10:30:00-04:00,sell,fill,48.0,SPY,stock,,0.0,,417.239990234375,market,1,0.0
2022-04-28 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2022-04-28 10:30:00-04:00,sell,fill,47.0,SPY,stock,,0.0,,422.2900085449219,market,1,0.0
2022-06-10 10:30:00-04:00,sell,new,,SPY,stock,,0.0,,,market,1,
2022-06-10 10:30:00-04:00,sell,fill,51.0,SPY,stock,,0.0,,394.8800048828125,market,1,0.0
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2022-07-08 10:30:00-04:00,sell,canceled,,SPY,stock,,0.0,,,market,1,0.0
2022-07-08 10:30:00-04:00,sell,canceled,,SPY,stock,,0.0,,,market,1,0.0
2022-07-08 10:30:00-04:00,sell,canceled,,SPY,stock,,0.0,,,market,1,0.0
2022-07-08 10:30:00-04:00,sell,canceled,,SPY,stock,,0.0,,,market,1,0.0
2022-07-08 10:30:00-04:00,sell,canceled,,SPY,stock,,0.0,,,market,1,0.0
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2022-07-08 10:30:00-04:00,buy_to_close,canceled,,SPY,stock,,0.0,,,stop,1,
2022-07-08 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2022-07-08 10:30:00-04:00,buy,new,,SPY,stock,,0.0,,,market,1,
2022-07-08 10:30:00-04:00,buy,fill,421.0,SPY,stock,,0.0,,387.2699890136719,market,1,0.0
2022-07-08 10:30:00-04:00,buy,fill,52.0,SPY,stock,,0.0,,387.2699890136719,market,1,0.0
2022-09-23 10:30:00-04:00,sell_to_close,canceled,,SPY,stock,,0.0,,,limit,1,
2022-09-23 10:30:00-04:00,sell_to_close,fill,52.0,SPY,stock,,0.0,,367.90648956298827,stop,1,0.0
