Metric,SPY,Strategy
Risk-Free Rate,5.24%,5.24%
Time in Market,64.0%,66.0%
,,
Total Return,11%,-44%
CAGR% (Annual Return),86.62%,-97.19%
,,
Sharpe,5.96,-3.84
RoMaD,62.51,-3.16
Corr to Benchmark,1.0,-0.13
Prob. Sharpe Ratio,99.37%,0.0%
Smart Sharpe,5.83,-3.76
Sortino,12.78,-3.8
Smart Sortino,12.5,-3.72
Sortino/√2,9.04,-2.69
Smart Sortino/√2,8.84,-2.63
Omega,0.05,0.05
,,
Max Drawdown,-1.39%,-30.72%
Longest DD Days,6,58
Volatility (ann.),9.52%,81.97%
R^2,0.02,0.02
Information Ratio,-0.23,-0.23
Calmar,62.51,-3.16
Skew,0.85,-5.51
Kurtosis,3.98,30.13
,,
Expected Daily%,0.17%,-0.96%
Expected Monthly%,3.48%,-17.76%
Expected Yearly%,5.26%,-25.42%
Daily Value-at-Risk,-0.65%,-7.91%
Expected Shortfall (cVaR),-0.65%,-7.91%
,,
MTD,0.0%,0.0%
3M,10.79%,-44.38%
6M,10.79%,-44.38%
YTD,0.0%,0.0%
1Y,10.79%,-44.38%
3Y (ann.),86.62%,-97.19%
5Y (ann.),86.62%,-97.19%
10Y (ann.),86.62%,-97.19%
All-time (ann.),86.62%,-97.19%
,,
Best Day,1.94%,0.74%
Worst Day,-1.39%,-27.0%
Best Month,5.95%,0.0%
Worst Month,0.0%,-42.82%
Best Year,10.79%,0.0%
Worst Year,0.0%,-44.38%
,,
Avg. Drawdown,-0.51%,-30.72%
Avg. Drawdown Days,3,58
Recovery Factor,7.46,1.68
Ulcer Index,0.0,0.26
Serenity Index,15.57,-0.22
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,43.79,18.3
Loss Days,17.21,42.7
Win Days%,71.79%,30.0%
Win Month%,100.0%,0.0%
Win Quarter%,100.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,-1.13
Alpha,-,-2.4
Correlation,-,-13.09%
Treynor Ratio,-,44.02%
