Metric,SPY,Strategy
Risk-Free Rate,4.21%,4.21%
Time in Market,69.0%,17.0%
,,
Total Return,40%,-799%
CAGR% (Annual Return),12.23%,-
,,
Sharpe,0.51,-0.58
RoMaD,0.55,-
Corr to Benchmark,1.0,0.0
Prob. Sharpe Ratio,46.14%,0.0%
Smart Sharpe,0.51,-0.58
Sortino,0.73,-0.58
Smart Sortino,0.73,-0.58
Sortino/√2,0.51,-0.41
Smart Sortino/√2,0.51,-0.41
Omega,0.02,0.02
,,
Max Drawdown,-22.09%,-765.69%
Longest DD Days,475,1041
Volatility (ann.),17.46%,21394.21%
R^2,0.0,0.0
Information Ratio,-0.03,-0.03
Calmar,0.55,-
Skew,-0.16,-32.78
Kurtosis,4.06,1074.88
,,
Expected Daily%,0.03%,-
Expected Monthly%,0.95%,-
Expected Yearly%,11.97%,-
Daily Value-at-Risk,-1.47%,-1875.93%
Expected Shortfall (cVaR),-1.47%,-1875.93%
,,
MTD,-2.06%,0.0%
3M,3.27%,0.0%
6M,8.78%,0.0%
YTD,25.35%,0.0%
1Y,25.35%,0.0%
3Y (ann.),11.99%,-
5Y (ann.),12.23%,-
10Y (ann.),12.23%,-
All-time (ann.),12.23%,-
,,
Best Day,5.5%,169.3%
Worst Day,-4.35%,-36714.71%
Best Month,9.21%,58.93%
Worst Month,-9.24%,-513.07%
Best Year,26.21%,0.0%
Worst Year,-11.25%,-799.43%
,,
Avg. Drawdown,-2.27%,-256.98%
Avg. Drawdown Days,24,357
Recovery Factor,1.74,47.72
Ulcer Index,0.09,7.11
Serenity Index,0.22,-59.32
,,
Avg. Up Month,2.72%,0.97%
Avg. Down Month,-,-
Win Days,574.01,552.86
Loss Days,500.99,522.14
Win Days%,53.4%,51.43%
Win Month%,63.89%,66.67%
Win Quarter%,75.0%,66.67%
Win Year%,66.67%,0.0%
,,
Beta,-,1.09
Alpha,-,-124.2
Correlation,-,0.09%
Treynor Ratio,-,-735.9%
